id,todo,status,priority,created_at,completed_at
60,Drive Sarah to interview at Wellington Corporation and pick up Roberta afterwards,pending,high,2025-03-13 08:00:00,
61,Organize game night at Lucas's apartment with Charlotte Emma and Oliver attending,in progress,medium,2025-03-14 19:00:00,
62,Book spa day for Jennifer and Isabella at Mandarin Oriental for stress relief,completed,medium,2025-03-15 09:00:00,2025-03-15 10:30:00
63,Meet Robert at golf course to discuss Roberta's surprise promotion celebration plans,pending,high,2025-03-16 07:00:00,
64,Help David move his boat from Hudson Marina to storage facility upstate,in progress,low,2025-03-17 08:00:00,
65,Coordinate Charlotte's bachelorette party with Sarah Emma and Jennifer at Vegas,completed,critical,2025-03-18 10:00:00,2025-03-18 16:00:00
66,Drive Oliver to summer camp orientation at Lake George with other parents,pending,medium,2025-03-19 06:00:00,
67,Schedule meeting between Michael and Lucas about quarterly projections at headquarters,in progress,high,2025-03-20 09:00:00,
68,Pick up catering order for Isabella's networking event at Grand Central Market,completed,medium,2025-03-21 11:00:00,2025-03-21 12:30:00
69,Help Emma organize charity auction with Roberta at Metropolitan Museum of Art,pending,high,2025-03-22 10:00:00,
70,Meet Jennifer David and Sarah at cooking class at Culinary Institute Downtown,in progress,low,2025-03-23 18:00:00,
71,Drive Robert to airport for business trip and update Roberta about his flight,completed,critical,2025-03-24 05:00:00,2025-03-24 07:00:00
72,Coordinate with Charlotte about flower arrangements for Lucas's company gala event,pending,medium,2025-03-25 09:00:00,
73,Help Oliver with science project about renewable energy with Michael's expertise advice,in progress,medium,2025-03-26 15:00:00,
74,Book restaurant reservations for Isabella's client dinner at Eleven Madison Park,completed,high,2025-03-27 09:00:00,2025-03-27 09:30:00
75,Drive Emma and Sarah to Boston for weekend conference at Hynes Convention Center,pending,medium,2025-03-28 07:00:00,
76,Organize surprise baby shower for Jennifer with Michael at Charlotte's house Saturday,in progress,critical,2025-03-29 10:00:00,
77,Meet David and Lucas at car dealership to help choose company fleet vehicles,completed,medium,2025-03-30 09:00:00,2025-03-30 14:00:00
78,Schedule piano recital venue for Oliver with his teacher at Carnegie Hall,pending,high,2025-03-31 10:00:00,
79,Coordinate with Robert about investment opportunities for Roberta's retirement portfolio,in progress,medium,2025-04-01 08:00:00,
80,Help Isabella move her art collection from storage to new penthouse apartment,completed,low,2025-04-02 09:00:00,2025-04-02 17:00:00
81,Drive Charlotte and Emma to dress fitting for Lucas's sister's wedding,pending,medium,2025-04-03 11:00:00,
82,Meet Jennifer and Michael at law office to sign partnership agreement documents,in progress,critical,2025-04-04 09:00:00,
83,Organize farewell party for Sarah before her move to London with David,completed,high,2025-04-05 10:00:00,2025-04-05 16:00:00
84,Take Oliver to orthodontist appointment and meet Lucas for lunch afterwards,pending,low,2025-04-06 13:00:00,
85,Coordinate with Roberta about hiring committee meeting with Robert present too,in progress,high,2025-04-07 08:00:00,
86,Help Emma pack for her honeymoon trip to Bali with David next month,completed,medium,2025-04-08 10:00:00,2025-04-08 14:00:00
87,Book conference venue for Isabella's keynote speech with Michael introducing her,pending,critical,2025-04-09 09:00:00,
88,Drive Charlotte to wedding venue tasting with Lucas at Four Seasons Hotel,in progress,medium,2025-04-10 10:00:00,
89,Meet Jennifer Sarah and Oliver at Central Park Zoo for educational workshop,completed,low,2025-04-11 10:00:00,2025-04-11 15:00:00
90,Help Robert organize surprise vow renewal for him and Roberta in Hawaii,pending,high,2025-04-12 08:00:00,
91,Coordinate Michael's book signing event with Isabella managing media coverage,in progress,critical,2025-04-13 09:00:00,
92,Drive David and Emma to wedding venue for final walkthrough before ceremony,completed,high,2025-04-14 09:00:00,2025-04-14 13:00:00
93,Schedule team lunch for Jennifer's promotion celebration at Wolfgang Puck's restaurant,pending,medium,2025-04-15 10:00:00,
94,Help Lucas find engagement ring for Charlotte at Tiffany's on Fifth Avenue,in progress,high,2025-04-16 10:00:00,
95,Take Oliver to college tours with Sarah visiting Harvard MIT and Yale,completed,medium,2025-04-17 07:00:00,2025-04-17 20:00:00
96,Coordinate Isabella's farewell dinner with Michael Robert and Roberta attending,pending,critical,2025-04-18 08:00:00,
97,Meet Charlotte at florist to finalize arrangements for Emma's wedding bouquets,in progress,medium,2025-04-19 11:00:00,
98,Drive Jennifer to maternity photoshoot at Brooklyn Bridge Park with David,completed,low,2025-04-20 14:00:00,2025-04-20 17:00:00
99,Help Robert plan 25th anniversary surprise for Roberta at their first date spot,pending,high,2025-04-21 09:00:00,
100,Organize reunion dinner for Michael Isabella Jennifer Lucas Charlotte Emma Sarah David Oliver at Grand Central Oyster Bar,in progress,critical,2025-04-22 10:00:00,
